Location,Normal,Cumulative,Current Month,Current Year
24-08-2024,25-08-2024,26-08-2024,August,2024
Badarganj,N/A,0.00,August,2024
Bogra,297.30,0.00,August,2024
Chilmari,327.60,0.00,August,2024
Dalia,516.00,0.00,August,2024
Dewanganj,338.30,0.00,August,2024
Dhaka,304.80,2.00,August,2024
Gaibandha,236.40,0.00,August,2024
Haridaspur,N/A,0.00,August,2024
Jamalpur,367.90,0.00,August,2024
Kaunia,406.20,0.00,August,2024
Kurigram,340.10,0.00,August,2024
Mymensingh,396.10,0.00,August,2024
Pateswari,N/A,5.50,August,2024
Rangpur,340.80,0.00,August,2024
Serajganj,257.20,6.00,August,2024
Tangail,286.70,23.00,August,2024
Thakurgaon,N/A,0.00,August,2024
Atrai,N/A,0.00,August,2024
Barguna,441.00,3.00,August,2024
Barisal,398.00,18.50,August,2024
Bhagyakul,N/A,3.00,August,2024
Chapai-Nawabganj,241.00,12.00,August,2024
Dinajpur,349.70,0.00,August,2024
Faridpur,167.00,2.00,August,2024
Jessore,317.80,0.00,August,2024
Khulna,349.40,4.00,August,2024
Kushtia,260.30,6.50,August,2024
Madaripur,183.00,2.60,August,2024
Mohadevpur,276.40,1.00,August,2024
Naogaon,265.70,1.00,August,2024
Pabna,264.00,60.50,August,2024
Panchagarh,524.90,0.00,August,2024
Patuakhali,489.20,4.50,August,2024
Rajshahi,242.80,18.00,August,2024
Rohanpur,258.90,0.00,August,2024
Satkhira,332.10,23.00,August,2024
B. Baria,N/A,0.00,August,2024
Bhairab-Bazar,314.50,0.00,August,2024
Chandpur,336.10,4.00,August,2024
Chandpur Bagan,N/A,5.00,August,2024
Chattak,N/A,17.00,August,2024
Comilla,347.00,0.00,August,2024
Dakhinabag,N/A,0.00,August,2024
Durgapur,607.00,7.00,August,2024
Habiganj,389.10,4.50,August,2024
Itakhola,N/A,13.00,August,2024
Jafflong,N/A,61.00,August,2024
Jariajanjail,444.00,0.00,August,2024
Kamalganj,N/A,6.00,August,2024
Kanaighat,800.10,3.00,August,2024
Lalakhal,N/A,26.00,August,2024
Latu,N/A,8.00,August,2024
Lourergorh,880.00,10.00,August,2024
Manu-Rly-Br.,377.40,12.00,August,2024
Moheshkhola,N/A,7.60,August,2024
Moulvi-Bazar,377.30,0.00,August,2024
Nakuagaon,455.00,2.50,August,2024
Narsingdi,N/A,2.60,August,2024
Sheola,603.00,0.00,August,2024
Sherpur-Sylhet,355.00,0.00,August,2024
Sreemongal,N/A,18.00,August,2024
Sunamganj,1159.40,24.00,August,2024
Sylhet,605.80,5.00,August,2024
Zakiganj,N/A,5.00,August,2024
Bandarban,440.50,0.00,August,2024
Chittagong,538.70,0.00,August,2024
Coxs Bazar,N/A,6.00,August,2024
Lama,607.60,0.00,August,2024
Narayan-Hat,524.90,0.00,August,2024
Noakhali,657.40,4.50,August,2024
Panchpukuria,478.00,0.00,August,2024
Parshuram,403.00,-,August,2024
Ramgarh,467.00,0.00,August,2024
Rangamati,439.90,0.00,August,2024
Teknaf,438.00,58.00,August,2024
